segment_id;PassageID;Dokumentname;Code;Segment;Testszenario
SYN-017;SYN-PASS-017;SYN-P01;Organisation > Zeit > Vereinbarkeit > belastend;Das flexible Lernen klingt gut. Tatsächlich sitze ich regelmäßig noch spät am Abend daran und bin dann zu müde.;kontextsensitiv
SYN-018;SYN-PASS-018;SYN-P02;Organisation > Zeit > Vereinbarkeit > belastend;Der Samstagstermin ist für mich schwierig. Ich konnte deshalb nur die erste Hälfte des letzten Treffens besuchen.;kontextsensitiv
SYN-019;SYN-PASS-019;SYN-P01;Organisation > Zugang > Technik;"Am eigenen Rechner läuft die Simulation. Auf dem Leihgerät startet sie nicht; die Fehlermeldung bleibt leer.";eindeutig
SYN-020;SYN-PASS-020;SYN-P02;Organisation > Zugang > Technik;Die Anmeldung klappt inzwischen. Für jede Sitzung muss ich aber erneut ein Passwort anfordern.;kontextsensitiv
SYN-021;SYN-PASS-021;SYN-P03;Organisation > Zugang > Technik;Ich habe die Datei heruntergeladen, bevor die Verbindung abbrach. Ohne diese Kopie hätte ich nicht mitarbeiten können.;kontextsensitiv
SYN-022;SYN-PASS-022;SYN-P02;Organisation > Unterstützung;Auf meine Frage kam noch am selben Tag eine Antwort. Sie hat das Problem eingegrenzt, aber nicht vollständig gelöst.;eindeutig
SYN-023;SYN-PASS-023;SYN-P03;Organisation > Unterstützung;Ich wusste nicht, wen ich bei dem Fehler ansprechen soll. Zwei Stellen haben mich jeweils weiterverwiesen.;kontextsensitiv
SYN-024;SYN-PASS-024;SYN-P04;Organisation > Unterstützung;In der Sprechstunde konnte ich meinen Versuch zeigen. Die Rückfrage zur Messung war hilfreicher als eine fertige Lösung.;kontextsensitiv
SYN-025;SYN-PASS-025;SYN-P03;Zusammenarbeit > Gruppe > Austausch;Wir haben unsere Messwerte verglichen. Dabei fiel auf, dass wir verschiedene Bezugspunkte verwendet hatten.;eindeutig
SYN-026;SYN-PASS-026;SYN-P04;Zusammenarbeit > Gruppe > Austausch;Die andere Gruppe kam zu einem anderen Ergebnis. Erst im Gespräch haben wir den Unterschied im Aufbau gefunden.;kontextsensitiv
SYN-027;SYN-PASS-027;SYN-P05;Zusammenarbeit > Gruppe > Austausch;Ich habe nur eine Verständnisfrage gestellt. Daraus wurde ein längeres Gespräch über mehrere Lösungswege.;kontextsensitiv
SYN-028;SYN-PASS-028;SYN-P04;Zusammenarbeit > Gruppe > Konflikt;Zwei Personen haben den Aufbau übernommen. Als ich etwas ändern wollte, hieß es, dafür sei keine Zeit mehr.;eindeutig
SYN-029;SYN-PASS-029;SYN-P05;Zusammenarbeit > Gruppe > Konflikt;Wir waren uns beim Vorgehen nicht einig. Am Ende haben wir abgestimmt, aber meine Frage blieb offen.;kontextsensitiv
SYN-030;SYN-PASS-030;SYN-P06;Zusammenarbeit > Gruppe > Konflikt;Die Aufgaben waren verteilt, trotzdem habe ich fast das ganze Protokoll geschrieben. Das möchte ich beim nächsten Mal anders regeln.;kontextsensitiv
SYN-031;SYN-PASS-031;SYN-P05;Verbesserungsvorschlag;Eine kurze Übersicht mit den drei häufigsten Fehlern würde mir helfen. Sie könnte direkt neben dem Versuchsaufbau liegen.;eindeutig
SYN-032;SYN-PASS-032;SYN-P06;Verbesserungsvorschlag;Ich wünsche mir einen zusätzlichen Termin, an dem man einen eigenen Fall mitbringen kann.;kontextsensitiv
SYN-033;SYN-PASS-033;SYN-P01;Verbesserungsvorschlag;Vielleicht könnte die Abgabe in zwei kleine Schritte geteilt werden. Dann gäbe es Rückmeldung, bevor alles fertig ist.;kontextsensitiv
SYN-034;SYN-PASS-034;SYN-P06;Gesamturteil > ambivalent;Insgesamt hat es mir etwas gebracht, aber der Aufwand war höher als erwartet. Ich würde es empfehlen, allerdings nicht uneingeschränkt.;eindeutig
SYN-035;SYN-PASS-035;SYN-P01;Gesamturteil > ambivalent;Ich bin weder enttäuscht noch richtig zufrieden. Einige Teile waren hilfreich, andere passten für mich nicht.;kontextsensitiv
SYN-036;SYN-PASS-036;SYN-P02;Gesamturteil > ambivalent;Ob es sich gelohnt hat? Teilweise schon. Für eine klare Antwort müsste ich erst sehen, was ich später tatsächlich nutze.;kontextsensitiv
SYN-037;SYN-PASS-037;SYN-P01;Organisation > Unterstützung;In der offenen Sprechstunde haben wir gemeinsam unsere Messwerte verglichen. Die Kursleitung half uns, den unterschiedlichen Aufbau zu erkennen.;mehrfachcodierte_passage
SYN-038;SYN-PASS-037;SYN-P01;Zusammenarbeit > Gruppe > Austausch;In der offenen Sprechstunde haben wir gemeinsam unsere Messwerte verglichen. Die Kursleitung half uns, den unterschiedlichen Aufbau zu erkennen.;mehrfachcodierte_passage
SYN-039;SYN-PASS-038;SYN-P01;Lernangebot > Materialien;Die Kursunterlagen waren verständlich. Erst als ich die Anleitung an unserer Anlage ausprobierte, merkte ich, dass dort andere Sensoren verbaut sind. Mit dem Verfahren kam ich allein nicht weiter.;mehrfachcodierung_grenzfall
SYN-040;SYN-PASS-038;SYN-P01;Lernangebot > Praxis > Übertragung > stockt;Die Kursunterlagen waren verständlich. Erst als ich die Anleitung an unserer Anlage ausprobierte, merkte ich, dass dort andere Sensoren verbaut sind. Mit dem Verfahren kam ich allein nicht weiter.;mehrfachcodierung_grenzfall
SYN-041;SYN-PASS-039;SYN-P02;Organisation > Zeit > Vereinbarkeit > entlastend;Der neue Abendtermin lässt sich mit meinem Dienst vereinbaren. Gleichzeitig bin ich nach der Schicht so erschöpft, dass mir die Konzentration für den Kurs fehlt. Beides trifft für mich zu.;mehrfachcodierung_grenzfall
SYN-042;SYN-PASS-039;SYN-P02;Organisation > Zeit > Vereinbarkeit > belastend;Der neue Abendtermin lässt sich mit meinem Dienst vereinbaren. Gleichzeitig bin ich nach der Schicht so erschöpft, dass mir die Konzentration für den Kurs fehlt. Beides trifft für mich zu.;mehrfachcodierung_grenzfall
SYN-043;SYN-PASS-040;SYN-P03;Zusammenarbeit > Gruppe > Austausch;"Beim Vergleich unserer Protokolle fanden wir unterschiedliche Messpunkte. Danach bestimmte ein Kollege allein, welches Ergebnis abgegeben wird; mein Einwand wurde übergangen.";mehrfachcodierung_grenzfall
SYN-044;SYN-PASS-040;SYN-P03;Zusammenarbeit > Gruppe > Konflikt;"Beim Vergleich unserer Protokolle fanden wir unterschiedliche Messpunkte. Danach bestimmte ein Kollege allein, welches Ergebnis abgegeben wird; mein Einwand wurde übergangen.";mehrfachcodierung_grenzfall
SYN-045;SYN-PASS-041;SYN-P04;Organisation > Zugang > Technik;Die Simulation startete auch nach dem dritten Versuch nicht. Die Betreuung antwortete schnell und grenzte den Fehler ein. Ich würde mir für solche Fälle zusätzlich eine Anleitung zur Fehlersuche wünschen.;mehrfachcodierung_grenzfall
SYN-046;SYN-PASS-041;SYN-P04;Organisation > Unterstützung;Die Simulation startete auch nach dem dritten Versuch nicht. Die Betreuung antwortete schnell und grenzte den Fehler ein. Ich würde mir für solche Fälle zusätzlich eine Anleitung zur Fehlersuche wünschen.;mehrfachcodierung_grenzfall
SYN-047;SYN-PASS-041;SYN-P04;Verbesserungsvorschlag;Die Simulation startete auch nach dem dritten Versuch nicht. Die Betreuung antwortete schnell und grenzte den Fehler ein. Ich würde mir für solche Fälle zusätzlich eine Anleitung zur Fehlersuche wünschen.;mehrfachcodierung_grenzfall
SYN-048;SYN-PASS-042;SYN-P05;Lernangebot > Materialien;Eine Kollegin sagt, das Material sei nutzlos. Das ist nicht meine Erfahrung: Die beschrifteten Skizzen und die gut lesbare Tabelle haben mir beim Nachschlagen geholfen. Über ihren Arbeitsplatz kann ich nichts sagen.;mehrfachcodierung_grenzfall
SYN-049;SYN-PASS-043;SYN-P06;Lernangebot > Praxis > Übertragung > gelingt;Zuerst dachte ich, der Kurs hätte wenig gebracht. Später konnte ich bei einer Störung den Messablauf selbst anwenden und den Fehler finden. Dennoch bleibt mein Gesamturteil gemischt, weil viele andere Teile für mich wenig hilfreich waren.;mehrfachcodierung_grenzfall
SYN-050;SYN-PASS-043;SYN-P06;Gesamturteil > ambivalent;Zuerst dachte ich, der Kurs hätte wenig gebracht. Später konnte ich bei einer Störung den Messablauf selbst anwenden und den Fehler finden. Dennoch bleibt mein Gesamturteil gemischt, weil viele andere Teile für mich wenig hilfreich waren.;mehrfachcodierung_grenzfall
