Dokumentname;Code;Segment
Interview_06;Erwartungen an Tätigkeit > Zusammenarbeit > Team und Austausch;Wenn das Team funktioniert, kann das für mich einen großen Unterschied bei der Zufriedenheit machen.
Interview_05;Entscheidungsmotive > Pragmatische Aspekte > Sicherheit und Planbarkeit;Planbarkeit ist mir wichtiger geworden, weil ich nicht dauerhaft von kurzfristigen Entscheidungen abhängig sein möchte.
Interview_03;Erwartungen an Tätigkeit > Arbeitsbedingungen > Belastung und Zeitdruck;Phasen mit höherer Belastung sind für mich okay, solange sie nicht dauerhaft zum Normalzustand werden.
Interview_09;Kompetenzerleben > Soziale Kompetenz > Kommunikation;Ich bekomme oft die Rückmeldung, dass ich ruhig und verständlich kommuniziere.
Interview_02;Entscheidungsmotive > Intrinsische Aspekte > Interesse an Aufgaben;Für mich war wichtig, dass ich nicht nur Routine habe, sondern regelmäßig neue Probleme lösen muss.
Interview_05;Erwartungen an Tätigkeit > Arbeitsbedingungen > Flexibilität und Autonomie;Ich schätze es, wenn ich selbst entscheiden kann, wie ich bestimmte Aufgaben organisiere.
Interview_06;Entscheidungsmotive > Pragmatische Aspekte > Sicherheit und Planbarkeit;Ich möchte langfristig wissen, woran ich bin, deshalb finde ich stabile Rahmenbedingungen attraktiv.
Interview_07;Erwartungen an Tätigkeit > Arbeitsbedingungen > Belastung und Zeitdruck;Ich mache mir schon Gedanken darüber, wie viel Zeitdruck im Alltag tatsächlich entsteht.
Interview_06;Erwartungen an Tätigkeit > Wirksamkeit > Einfluss und Gestaltung;Wenn Entscheidungen schon komplett feststehen und man gar nichts beeinflussen kann, würde mich das auf Dauer frustrieren.
Interview_04;Kompetenzerleben > Fachliche Kompetenz > Unsicherheiten und Lernbedarf;Manchmal bin ich unsicher, ob mein Wissen für unerwartete Situationen schon ausreicht.
Interview_06;Kompetenzerleben > Fachliche Kompetenz > Unsicherheiten und Lernbedarf;In bekannten Themen bin ich sicher, bei neuen Anforderungen zweifle ich manchmal stärker an mir, als eigentlich nötig wäre.
Interview_03;Erwartungen an Tätigkeit > Zusammenarbeit > Team und Austausch;Ich wünsche mir ein Team, in dem man Fragen offen ansprechen kann und nicht jeder nur für sich arbeitet.
Interview_07;Entscheidungsmotive > Intrinsische Aspekte > Interesse an Aufgaben;Ich habe gemerkt, dass mir die eigentlichen Aufgaben wirklich Spaß machen und ich mich freiwillig länger damit beschäftige.
Interview_02;Erwartungen an Tätigkeit > Arbeitsbedingungen > Flexibilität und Autonomie;Ein bisschen Flexibilität bei Zeit und Vorgehen wäre mir wichtig, weil ich nicht jeden Tag gleich arbeite.
Interview_05;Erwartungen an Tätigkeit > Wirksamkeit > Einfluss und Gestaltung;Gestaltungsspielraum motiviert mich, wobei ich nicht erwarte, dass ich Strukturen grundsätzlich verändern kann.
Interview_10;Kompetenzerleben > Fachliche Kompetenz > Eigene Stärken;Ich glaube, dass ich fachlich eine gute Grundlage mitbringe, auch wenn mir praktische Erfahrung an einigen Stellen fehlt.
Interview_09;Entscheidungsmotive > Soziale Aspekte > Menschen unterstützen;Ich finde den Gedanken gut, Menschen bei Problemen weiterzuhelfen und zu sehen, dass sich dadurch etwas verbessert.
Interview_02;Kompetenzerleben > Fachliche Kompetenz > Eigene Stärken;Bei analytischen Aufgaben fühle ich mich ziemlich sicher und bekomme dazu auch häufig positives Feedback.
Interview_09;Entscheidungsmotive > Intrinsische Aspekte > Freude am Lernen;"Weiterlernen gehört für mich dazu; wenn jahrelang alles gleich wäre, würde mir wahrscheinlich etwas fehlen."
Interview_01;Entscheidungsmotive > Intrinsische Aspekte > Freude am Lernen;Ich mag es, mich in neue Themen einzuarbeiten, auch wenn das manchmal anstrengender ist als erwartet.
Interview_10;Entscheidungsmotive > Intrinsische Aspekte > Interesse an Aufgaben;Mich reizt vor allem, dass die Aufgaben abwechslungsreich sind und ich mich immer wieder in neue Themen einarbeiten kann.
Interview_07;Kompetenzerleben > Fachliche Kompetenz > Unsicherheiten und Lernbedarf;Der Lernbedarf schreckt mich nicht ab, ich möchte nur realistisch einschätzen können, was noch fehlt.
Interview_10;Entscheidungsmotive > Intrinsische Aspekte > Freude am Lernen;Der Gedanke, ständig dazuzulernen, ist für mich eher ein Pluspunkt als eine Belastung.
Interview_01;Erwartungen an Tätigkeit > Arbeitsbedingungen > Belastung und Zeitdruck;Eine dauerhaft hohe Arbeitsbelastung wäre für mich ein klarer negativer Punkt, selbst wenn die Aufgaben interessant sind.
Interview_04;Erwartungen an Tätigkeit > Arbeitsbedingungen > Belastung und Zeitdruck;Ich unterschätze wahrscheinlich noch, wie anstrengend manche Wochen werden können, sehe das aber nicht nur negativ.
Interview_08;Entscheidungsmotive > Intrinsische Aspekte > Freude am Lernen;Ich finde Lernen grundsätzlich gut, brauche aber auch Phasen, in denen ich nicht dauernd neue Anforderungen habe.
